"Rank","Player","Team","Position","Points","Games","Avg"
"1","Josh Allen","BUF","QB","405.2","16","25.3"
"2","Kyler Murray","ARI","QB","390.7","16","24.4"
"3","Aaron Rodgers","GB","QB","387.1","16","24.2"
"4","Patrick Mahomes II","KC","QB","380.3","15","25.4"
"5","Deshaun Watson","HOU","QB","376.4","16","23.5"
"6","Russell Wilson","SEA","QB","372.6","16","23.3"
"7","Ryan Tannehill","TEN","QB","350.3","16","21.9"
"8","Tom Brady","TB","QB","350.0","16","21.9"
"9","Justin Herbert","LAC","QB","342.8","15","22.9"
"10","Lamar Jackson","BAL","QB","341.7","15","22.8"
"11","Kirk Cousins","MIN","QB","319.2","16","20.0"
"12","Derrick Henry","TEN","RB","314.1","16","19.6"
"13","Alvin Kamara","NO","RB","294.8","15","19.7"
"14","Dalvin Cook","MIN","RB","293.8","14","21.0"
"15","Matt Ryan","ATL","QB","293.3","16","18.3"
"16","Derek Carr","LV","QB","281.0","16","17.6"
"17","Ben Roethlisberger","PIT","QB","277.2","15","18.5"
"18","Matthew Stafford","DET","QB","270.5","16","16.9"
"19","Cam Newton","NE","QB","269.3","15","18.0"
"20","Baker Mayfield","CLE","QB","255.8","16","16.0"
"21","Jared Goff","LAR","QB","253.0","15","16.9"
"22","Teddy Bridgewater","CAR","QB","252.1","15","16.8"
"23","Philip Rivers","IND","QB","251.0","16","15.7"
"24","Davante Adams","GB","WR","243.4","14","17.4"
"25","Tyreek Hill","KC","WR","241.9","15","16.1"
"26","Jonathan Taylor","IND","RB","216.8","15","14.5"
"27","Drew Brees","NO","QB","215.4","12","18.0"
"28","Carson Wentz","PHI","QB","213.4","12","17.8"
"29","Aaron Jones","GB","RB","211.9","14","15.1"
"30","David Montgomery","CHI","RB","210.8","15","14.1"
"31","Travis Kelce","KC","TE","207.8","15","13.9"
"32","Stefon Diggs","BUF","WR","201.6","16","12.6"
"33","James Robinson","JAC","RB","201.4","14","14.4"
"34","Josh Jacobs","LV","RB","198.3","15","13.2"
"35","Drew Lock","DEN","QB","196.4","13","15.1"
"36","Nick Chubb","CLE","RB","191.7","12","16.0"
"37","Calvin Ridley","ATL","WR","191.5","15","12.8"
"38","Daniel Jones","NYG","QB","190.2","14","13.6"
"39","D.K. Metcalf","SEA","WR","188.3","16","11.8"
"40","Justin Jefferson","MIN","WR","186.2","16","11.6"
"41","Kareem Hunt","CLE","RB","180.5","16","11.3"
"42","Adam Thielen","MIN","WR","180.0","15","12.0"
"43","Joe Burrow","CIN","QB","178.6","10","17.9"
"44","Mike Evans","TB","WR","178.6","16","11.2"
"45","A.J. Brown","TEN","WR","177.5","14","12.7"
"46","DeAndre Hopkins","ARI","WR","172.8","16","10.8"
"47","Jason Sanders","MIA","K","172.0","16","10.8"
"48","Ezekiel Elliott","DAL","RB","171.7","15","11.5"
"49","Darren Waller","LV","TE","171.6","16","10.7"
"50","Younghoe Koo","ATL","K","168.0","15","11.2"
"51","Kenyan Drake","ARI","RB","167.2","15","11.2"
"52","Melvin Gordon III","DEN","RB","166.4","15","11.1"
"53","Antonio Gibson","WAS","RB","166.2","14","11.9"
"54","Tyler Lockett","SEA","WR","165.4","16","10.3"
"55","Gardner Minshew II","JAC","QB","164.5","9","18.3"
"56","Mitchell Trubisky","CHI","QB","161.8","10","16.2"
"57","Allen Robinson II","CHI","WR","160.9","16","10.1"
"58","Ryan Fitzpatrick","MIA","QB","160.7","10","16.1"
"59","Ronald Jones II","TB","RB","158.3","14","11.3"
"60","Tyler Bass","BUF","K","157.0","16","9.8"
"61","Robert Woods","LAR","WR","155.1","16","9.7"
"62","Daniel Carlson","LV","K","155.0","16","9.7"
"63","Greg Zuerlein","DAL","K","153.0","16","9.6"
"64","Chase Claypool","PIT","WR","152.9","16","9.6"
"65","Marvin Jones Jr.","DET","WR","151.8","16","9.5"
"66","Los Angeles Rams","LAR","DST","151.0","16","9.4"
"66","Brandin Cooks","HOU","WR","151.0","15","10.1"
"68","Chris Carson","SEA","RB","150.8","12","12.6"
